user_id,game_id,level_id,attempt_id,score,accuracy,time,movements,errors,hints_used,completed,date
U001,G1,G1-L1,A00001,33,46,111,12,5,2,true,2026-08-03T09:00:00
U001,G1,G1-L1,A00002,35,36,95,8,5,2,true,2026-08-03T09:07:00
U001,G1,G1-L1,A00003,36,52,103,9,4,3,true,2026-08-03T09:14:00
U001,G1,G1-L1,A00004,30,37,118,10,2,2,true,2026-08-04T09:21:00
U001,G1,G1-L1,A00005,32,44,84,14,5,2,true,2026-08-04T09:28:00
U001,G1,G1-L1,A00006,42,58,88,8,4,3,true,2026-08-04T09:35:00
U001,G1,G1-L1,A00007,52,54,69,8,4,1,true,2026-08-05T09:42:00
U001,G1,G1-L1,A00008,46,55,70,12,4,1,true,2026-08-05T09:49:00
U001,G1,G1-L1,A00009,79,79,54,6,3,0,true,2026-08-05T09:56:00
U001,G1,G1-L2,A00010,59,77,103,15,2,2,true,2026-08-06T10:03:00
U001,G1,G1-L2,A00011,63,71,134,11,3,1,true,2026-08-06T10:10:00
U001,G1,G1-L3,A00012,74,73,147,14,2,1,true,2026-08-06T10:17:00
U001,G2,G2-L1,A00013,82,98,55,9,2,1,true,2026-08-07T10:24:00
U001,G2,G2-L2,A00014,78,87,112,16,3,0,true,2026-08-07T10:31:00
U002,G1,G1-L1,A00015,34,55,301,8,4,3,true,2026-08-04T09:00:00
U002,G1,G1-L1,A00016,38,53,86,13,4,2,true,2026-08-04T09:07:00
U002,G1,G1-L1,A00017,36,45,123,12,5,1,true,2026-08-04T09:14:00
U002,G1,G1-L1,A00018,27,54,207,13,6,3,true,2026-08-05T09:21:00
U002,G1,G1-L1,A00019,30,57,120,10,5,4,true,2026-08-05T09:28:00
U002,G1,G1-L1,A00020,31,41,140,10,4,2,true,2026-08-05T09:35:00
U002,G1,G1-L1,A00021,47,61,71,10,4,2,true,2026-08-06T09:42:00
U002,G1,G1-L1,A00022,22,32,139,10,5,3,true,2026-08-06T09:49:00
U002,G1,G1-L1,A00023,60,67,76,7,3,1,true,2026-08-06T09:56:00
U002,G1,G1-L2,A00024,35,45,162,18,4,2,true,2026-08-07T10:03:00
U002,G1,G1-L2,A00025,40,49,135,17,5,2,true,2026-08-07T10:10:00
U002,G1,G1-L2,A00026,64,72,104,13,6,1,true,2026-08-07T10:17:00
U002,G1,G1-L2,A00027,56,66,118,12,3,2,true,2026-08-08T10:24:00
U002,G1,G1-L2,A00028,41,55,146,18,3,2,true,2026-08-08T10:31:00
U003,G1,G1-L1,A00029,54,67,67,8,2,2,true,2026-08-05T09:00:00
U003,G1,G1-L1,A00030,63,73,54,9,2,1,true,2026-08-05T09:07:00
U003,G1,G1-L2,A00031,62,66,126,11,1,1,true,2026-08-05T09:14:00
U003,G1,G1-L3,A00032,66,81,155,18,0,2,true,2026-08-06T09:21:00
U003,G2,G2-L1,A00033,60,75,100,8,3,2,true,2026-08-06T09:28:00
U003,G2,G2-L2,A00034,81,85,109,11,2,1,true,2026-08-06T09:35:00
